Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,VOLUME DU COFFRE MAXIMAL,0-100 KM/H,VITESSE MAXI,CONSOMMATION MIXTE,AIRBAGS,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,CONTRÔLE DE PRESSION DES PNEUS,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,CONTRÔLE DE STABILITÉ ANTI-RETOURNEMENT,SYSTÈME DE DESCENTE EN CÔTE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SELLERIE,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,ALIMENTATION ÉLECTRIQUE,COFFRE À BAGAGES,CLIMATISATION,FERMETURE CENTRALISÉE,FREIN DE STATIONNEMENT,MODES DE CONDUITE,RÉTROVISEURS EXTÉRIEURS,INSTRUMENTATION DIGITALE,VITRES ÉLECTRIQUES,URL,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,ALARME ANTIVOL,ALERTE DE RISQUE DE COLLISION,BARRE STABILISATRICE,AIDE AU MAINTIEN DANS LA VOIE,CONDUITE AUTONOME,DIRECTION ASSISTÉE,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,PEINTURE,POIGNÉES DE PORTES,POMMEAU DE LEVIER DE VITESSE,BOUTON START & STOP,CLÉ INTELLIGENTE,CALANDRE,FINITION INTÉRIEURE,VITRES,PUISSANCE THERMIQUE (CH.DIN),PUISSANCE ÉLECTRIQUE,BATTERIE,COUPLE ÉLECTRIQUE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),KIT SÉCURITÉ,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,KIT RANGEMENT,ANTIBROUILLARDS,ORDINATEUR DE BORD,RÉTROVISEUR INTÉRIEUR,EMISSIONS DE CO2,CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,SURVEILLANCE D’ANGLE MORT,SEUILS DE PORTES,BARRES DE TOIT,CHARGE UTILE,TABLEAU DE BORD,SPOILER ARRIÈRE,Ancien Prix,NOMBRE DE MOTEURS ÉLECTRIQUES,VOLUME DU COFFRE AVANT,CAPACITÉ DE RECHARGE MAXIMALE (AC),LUMIÈRES D'AMBIANCE,PÉDALIERS,DIFFÉRENTIEL AUTOBLOQUANT,CONTRÔLE DU ROULIS DE LA REMORQUE,LIMITEUR DE VITESSE,KIT CARROSSERIE,NAVIGATION,CONNECTED DRIVE,TAPIS DE SOL,DÉTECTEUR DE FATIGUE,VOLUME UTILE,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,BOULE D'ATTELAGE,CAMÉRA D'ANGLE MORT,TRAIN ROULANT,SURFACE DE CHARGEMENT,CIEL DE PAVILLON,SORTIES D’ÉCHAPPEMENT,FREINAGE,SUSPENSION,PORTES EN ÉLYTRE,STORES PARE-SOLEIL
TOYOTA HILUX DOUBLE CABINE,2.4 L Diesel D-4D 4x4,159 800 DT,Non,Disponible,Pick up,3 ans ou 100.000 km,5,4,4,Diesel,8 CV,150 CH,400 nm 1600 tr/min,2393 CM³,Manuelle,6,Intégrale,5330 mm,1800 mm,1815 mm,,,13.2 s,170 KM/H,7 L/100 km,Frontaux | Latéraux | Rideaux | Genoux conducteur,VSC,,,HAC,,,,,17'',,,Android Auto | Apple Carplay | Bluetooth,8 pouces,,,Tissu,,,,Multi-fonctions,En hauteur et en profondeur,,,Manuelle,À distance,,,Électriques,,Avant/Arrière,https://www.automobile.tn/fr/neuf/toyota/hilux/2.4-l-diesel-d-4d-4x4-double-cabine#specs,8.2 L/100 km,6.3 L/100 km,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,850 KG,,,,,,,,,Arrière,,,,,,,,,,,,,,2.35 m²,,,,,,
MERCEDES-BENZ CLASSE A BERLINE,200 Progressive,160 000 DT,Non,Disponible,Berline,2 ans,5,5,4,Essence,9 CV,163 CH,270 nm 1620 tr/min,1332 CM³,Automatique,7,Traction,4560 mm,1800 mm,1430 mm,405 L,,8.2 s,225 KM/H,6 L/100 km,Frontaux | Rideaux | Bassin,ESP | ASR,BAS,,,Radar de recul | Radar avant | Caméra de recul | Parktronic,,,Feux de jour | Avant | Arrières,En aluminium | 17'',LED Hautes performances,MBUX | Commandes au volant,USB-C | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,3,Similicuir/Tissu,Confort,Conducteur et passager,,Cuir | Multi-fonctions | 4 branches | Avec palettes,En hauteur et en profondeur,,,Automatique,À distance,Éléctrique,Confort | Sport | Eco | Individual,Électriques | Rabattables | Photosensibles | Avec clignotants intégrés,7 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mercedes-benz/classe-a-berline/200-progressive-sept-23#specs,,,,,,,,,TEMPOMAT,,,+2000 DT | Blanche,,,Démarrage mains libres,,Chromée,Carbone foncé,Teintées,,,,,,,Triangle de présignalisation | Trousse de premiers secours,Chrome,,,,Anti-éblouissement | Sans Cadre,,,,,,,,,Aluminium,,,,,,,,,,,,,,Progressive Line,,,Velours,Attention Assist,,,,,,Confort,,,,,,,
"MG RX9
2.0 T ULTIMATE",Version unique,164 950 DT,Non,4 mois,SUV,5 ans,7,5,4,Essence,11 CV,205 CH,360 nm 4000 tr/min,1995 CM³,Automatique,9,Traction,4983 mm,1967 mm,1786 mm,,1026 L,9.0 s,220 KM/H,11.8 L/100 km,Frontaux | Latéraux,ESP | TCS | CBC,EBD | VDC,TPMS,Autohold,Radar de recul | Système de caméras 360,,HDC,Feux de jour | Avant | Arrières,En aluminium | 20'',,8 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 12.3 pouces,Avant | Arrière,,,Conducteur à réglage électrique | Réglage lombaire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique | 3 zones | Ventilation arrière,À distance,Éléctrique | EPB,Confort | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mg/rx9/2.0-t,,,,,,,,,,,,,,,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW SÉRIE 2 GRAN COUPÉ,218 Collection Edition Spéciale,165 900 DT,Non,Disponible,Berline,5 ans (2+3),5,4,3,Essence,8 CV,156 CH,230 nm 1500 tr/min,1499 CM³,Automatique,7,Traction,4546 mm,1800 mm,1445 mm,360 L,,8.6 s,230 KM/H,6.3 L/100 km,Frontaux | Latéraux | Rideaux,DSC,DBC,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,,,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED | Adaptatifs,6 haut-parleurs | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.7 pouces,Avant,3,Tissu | Arktur anthrazit,Électriques | Fonction mémoire,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,Confort | Sport | Eco,Électriques | Rabattables | Avec clignotants intégrés,10.25 pouces | BMW Live Plus,Avant/Arrière,https://www.automobile.tn/fr/neuf/bmw/serie-2-gran-coupe/218i-collection-edition-speciale#specs,8.1 L/100 km,5.2 L/100 km,,FCW,,,,,Avec fonction freinage,,,Métallisée +3000 DT,,,Démarrage mains libres,Accès mains libres,,Inserts décoratifs Aluminium Graphite illuminés,Lunette et vitres arrières sur-teintées | Calorifuges,,,,,,,Triangle de présignalisation | Trousse de premiers secours,Alu satiné,,,,Anti-éblouissement,,,,,LDW,,,,,,,,,,,,,,,,,,,,,Velours,,,,,,,,,Anthracite,,,,,
"AUDI A3 BERLINE
35 TFSI DYNAMIC EDITION",Version unique,165 990 DT,Non,Disponible,Berline,3 ans,5,4,4,Essence,8 CV,150 CH,250 nm 1500 tr/min,1395 CM³,Automatique,8,Traction,4504 mm,1816 mm,1417 mm,425 L,,8.4 s,232 KM/H,5.4 L/100 km,Frontaux | Latéraux | Protège-tête,ESP,,,Audi hold assist,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 17'',Full LED | Adaptatifs | Signature LED,MMI Radio Plus | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.1 pouces,Avant,,Tissu,Chauffants | Réglage lombaire,Conducteur et passager,Panoramique | En verre,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,Ouverture mains libres,Automatique | 3 zones | Ventilation arrière,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Audi Virtual Cockpit | 10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/audi/a3-berline/35-tfsi-dynamic-edition,,,,,,,,,,,,,,,Démarrage mains libres,Accès mains libres,,Style aluminium | Applications décoratives en peinture fine Gris Volcan,Parebrise athermique | Lunette et vitres arrières sur-teintées,,,,,,,Triangle de présignalisation,Aluminium,,,,Anti-éblouissement | Sans Cadre,,,,,,,,,Aluminium,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,
"TOYOTA RAV 4 HYBRIDE
2.5 L",Version unique,168 500 DT,Non,Disponible,SUV,3 ans ou 100.000 km | Batterie garantie 5 ans ou 150.000 km,5,5,4,Essence | Hybride,9 CV,218 CH,221 nm 5200 tr/min,2478 CM³,Automatique,7,Traction,4600 mm,1855 mm,1690 mm,580 L,,8.4 s,180 KM/H,4.8 L/100 km,Frontaux | Latéraux | Rideaux | Genoux,VSC,EBA | EBD,,,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Arrières,En aluminium | 18'',Full LED,Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant | Arrière,3,Cuir,Conducteur à réglage électrique | Chauffants | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco | EV Mode,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/toyota/rav-4-hybride/2.5-l-hybride,5.0 L/100 km,4.8 L/100 km,,,,,,,,,Poignées de portes,,,Cuir,Démarrage mains libres,Accès mains libres,,Noir brillant,Lunette et vitres arrières sur-teintées,,,,,,,,Chrome,,,Ecran TFT 7'',Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doubles,,,,
HYUNDAI IONIQ 5,58 kWh 2WD HG,168 950 DT,Non,Indisponible,SUV,5 ans ou 100000 km | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,3 CV,166 CH,350 nm 0 tr/min,,Automatique,,Propulsion,4635 mm,1890 mm,1605 mm,527 L,1587 L,8.5 s,185 KM/H,,Frontaux | Latéraux | Rideaux | Centraux,ESP,EBD | Système anti-collision avec détection des piétons | Freinage multi-collision,,,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière,,,Feux de jour | Avant | Arrières | Pixel LED,En aluminium | 19'' | Bi-ton,Pixel LED | Bi-LED,7 haut-parleurs | Haut-parleurs Bose | Commandes au volant | Subwoofer | Radio numérique DAB,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant | Arrière,3,Cuir,Électriques | Chauffants | Fonction mémoire,Conducteur et passager,Panoramique | En verre,Chauffant | Multi-fonctions | Avec palettes,En hauteur et en profondeur,2 prises 12 V | Chargeur inversé (V2L),Ouverture et fermeture motorisées | Ouverture mains libres,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco | Neige,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/ioniq-5/58-kwh-2wd-hg#specs,,,Périmétrique,,,LKA | LFA,Niveau 2,Électrique,Adaptatif (ACC),TSR | Avec régulation de la vitesse,,,Escamotables,,Démarrage mains libres,Accès mains libres,,,Parebrise athermique | Lunette et vitres arrières sur-teintées,,,58 kWh,,384 km,,,,,,,Anti-éblouissement,0 g/km,16.7 kWh/100 km,5 heures,18 minutes,,,AHBA,BCA,,,,,,,1,57 L,,LED,,,,Intelligent,,Cartographie Tunisienne,,,DAW,,,,,,,,,,,,,
MINI COUNTRYMAN,1.5 L Classic BVA,169 900 DT,Non,Disponible,SUV,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,240 nm 1400 tr/min,1499 CM³,Automatique,7,Traction,4433 mm,2069 mm,1656 mm,450 L,,8.3 s,212 KM/H,5.9 L/100 km,Frontaux | Latéraux | Rideaux,ESP,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,,En aluminium | 17'',Full LED | Adaptatifs,6 haut-parleurs | Commandes au volant,USB | Apple Carplay | AUX | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 9.4 pouces | Circulaire | OLED,Avant,,Tissu | Schwarz | Vescin,,Conducteur et passager,,Cuir | Chauffant | Multi-fonctions | Sport,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants,,Avant/Arrière,https://www.automobile.tn/fr/neuf/mini/countryman/1.5-l-bva-classic#specs,7.1 L/100 km,5.2 L/100 km,,,,,,,Avec fonction freinage,,,,,,,Accès mains libres | Digital Key Card,,Classic,Calorifuges,,,,,,,Triangle de présignalisation,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,GPS,Teleservices | Connected+,,,,,,,,,,,,,,,
"PEUGEOT TRAVELLER
2.0 L HDI 9 PLACES",Version unique,169 900 DT,Non,3 mois,Monospace,3 ans,9,5 | 2 portes latérales coulissantes,4,Diesel,8 CV,150 CH,370 nm 2000 tr/min,1997 CM³,Manuelle,5,Traction,4983 mm,1920 mm,1890 mm,507 L,,11 s,170 KM/H,5.5 L/100 km,Frontaux | Latéraux,ESP | ASR,AFU,,,Radar de recul,,,Feux de jour | Avant,17'' | Enjoliveurs,Full LED,Commandes au volant | Radio numérique DAB,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Mirrorlink,Tactile | 10 pouces,Avant conducteur,,Tissu | Bi-ton,Réglage lombaire,,,Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants,,Avant,https://www.automobile.tn/fr/neuf/peugeot/traveller/2.0-l-hdi-9-places,6 L/100 km,5.2 L/100 km,,,,,,Électrique,,,Pare-chocs | Poignées de portes,,,,,,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,,139 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD RANGER,2.0 L 170 ch 4x4 XLT BVM,145 000 DT,Oui,1 mois,Pick up,3 ans ou 60.000 km,5,4,4,Diesel,9 CV,170 CH,405 nm 1750 tr/min,1996 CM³,Manuelle,6,Intégrale,5370 mm,1918 mm,1884 mm,,,11.6 s,180 KM/H,6.5 L/100 km,Frontaux | Latéraux | Rideaux | Genoux | Centraux,ESP,,,,Radar de recul | Caméra de recul,,,,En aluminium | 18'' | Roue de secours en Aluminium,,6 haut-parleurs,USB | USB-C | Bluetooth | Commande vocale,Tactile | 10.1 pouces,Avant | Arrière,3,Tissu,,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,,Manuelle,À distance,,,Électriques | Dégivrants | Avec clignotants intégrés,Digital Cockpit | 8 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/ford/ranger/2.0-l-170-ch-4x4-bvm-xlt#specs,8.2 L/100 km,7.1 L/100 km,,,,,,,,,Pare-chocs | Poignées de portes | Rétroviseurs,,,Cuir,,,Chromée,,Pare-brise en verre feuilleté,,,,,,,,,,,,,,,,,,,,,,,1100 KG,,,155.000 DT,,,,,,Arrière,,,,,,,,,,,,,,2.40 m²,,,,,,
"HONDA CIVIC HYBRIDE
2.0 L E-HEV",Version unique,171 990 DT,Non,Disponible,Berline,3 ans ou 100.000 km,5,4,4,Essence | Hybride,7 CV,143 CH,189 nm 4500 tr/min,1993 CM³,Automatique,,Traction,4679 mm,1802 mm,1432 mm,419 L,,7.1 s,180 KM/H,4.0 L/100 km,Frontaux | Latéraux | Rideaux,VSA,EBA | EBD | ESS,,Autohold | HSA,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED,4 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 9 pouces,Avant | Arrière,3,Cuir,,Conducteur et passager,Ouvrant,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Dégivrants | Avec clignotants intégrés,7 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/honda/civic-hybride/2.0-l-e-hev,2.3 L/100 km,5.0 L/100 km,,,,,,EPS | Électrique,,,Pare-chocs | Poignées de portes | Rétroviseurs,,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,Noire,,,,184 CH,,315 nm,,,,,Porte-lunettes,LED,,Anti-éblouissement,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CUPRA TERRAMAR,1.4 TSI,172 980 DT,Non,En pré-commande,SUV,3 ans,5,5,4,Essence,8 CV,150 CH,250 nm 1400 tr/min,1395 CM³,Automatique,7,Traction,4519 mm,1863 mm,1584 mm,400 L,,9.3 s,205 KM/H,6.1 L/100 km,Frontaux | Latéraux | Genoux | Protège-tête,ESC,,,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 19'',Adaptatifs | Matrix LED,6 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 12.9 pouces,Avant,3,Tissu,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Sport | Avec palettes,En hauteur et en profondeur,,Ouverture et fermeture motorisées | Ouverture mains libres,Automatique | 3 zones,À distance,Éléctrique,Confort | Individual | Cupra | Performance,Électriques | Rabattables | Dégivrants | Mémoire de position | Avec clignotants intégrés | Éclairage d'accueil à LED,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/cupra/terramar/1.4-tsi#specs,,,,,,,,Dynamique,,,,,,,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées | Athermiques,,,,,,,,,Poches aumônières,,,Anti-éblouissement,139 g/km,,,,,,,,Eclairés | Baguettes dans les baies de porte,,,,,,,,,,,XDS,,,,GPS,,,,,,,,,,,,,,,,
KIA SPORTAGE HYBRIDE,1.6 l T-GDI 4x2 GT-Line,174 980 DT,Non,Disponible,SUV,5 ans,5,5,4,Essence | Hybride,10 CV,230 CH,350 nm 1500 tr/min,1598 CM³,Automatique,6,Traction,4515 mm,1865 mm,1645 mm,587 L,,8 s,193 KM/H,5.5 L/100 km,Frontaux | Latéraux | Rideaux | Centraux,ESC,EBD | Freinage automatique anti-collision (AEB) | FCA,,HAC,Radar de recul | Radar avant | Caméra de recul | Détection du trafic en marche arrière,,DBC,Feux de jour | Avant | Arrières,En aluminium | 18'',Adaptatifs | Matrix LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Arrière,,Cuir | Suède,Électriques | Chauffants | Ventilés,Conducteur et passager,Ouvrant | Panoramique,Cuir | Chauffant | Multi-fonctions | Sport | Avec palettes,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Sport | Eco,Électriques | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/kia/sportage-hybride/1.6-l-t-gdi-4x2-gt-line#specs,,,,,,LKA | LFA,,,Adaptatif (ACC),TSR,,,,,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,LED,,Anti-éblouissement,,,,,,,,,,,,,,,,,,LED | 64 couleurs,,,TSA,,GT-Line,,,,DAW,,,,,,,,,,,,,
MINI 5 PORTES,1.5 l Cooper Favoured,166 900 DT,Non,Disponible,Citadine,5 ans (2+3),5,5,3,Essence,,156 CH,230 nm 1480 tr/min,1499 CM³,Automatique,7,Traction,4036 mm,1744 mm,1464 mm,275 L,,8 s,225 KM/H,6.3 L/100 km,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED | Adaptatifs,6 haut-parleurs | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 9.4 pouces,Avant,,Vescin | Nightshade Blue,Sport,Conducteur et passager,Panoramique | En verre,Chauffant | Sport,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco | MINI Experience,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/mini/5-portes/1.5-l-cooper-favoured#specs,6.8 L/100 km,6.1 L/100 km,,RCW,,,,,Avec fonction freinage | Driving Assistant,,,,,,Démarrage mains libres,Accès mains libres | Digital Key Card,,Noir brillant,Lunette et vitres arrières sur-teintées | Calorifuges,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,GPS | Réalité augmentée,Teleservices | Connected+ Unlimited,,,,,,,,,,Anthracite,,Sport John Cooper Works,Adaptative,,
"OMODA & JAECOO J8
1.5 TGDI SHS 4WD",Version unique,176 900 DT,Non,Disponible,SUV,7 ans ou 200000 km | Batterie garantie 8 ans,5,5,4,Essence | Hybride rechargeable,7 CV,537 CH,215 nm 2500 tr/min,1499 CM³,Automatique,,Intégrale,4820 mm,1930 mm,1710 mm,738 L,,5.4 s,180 KM/H,6.8 L/100 km,Frontaux | Latéraux | Rideaux | Genoux conducteur,ESP,BAS | EBD | Système anti-collision avec détection des piétons | BOS,TPMS,,Radar de recul | Radar avant | Système de caméras 540°,,,Feux de jour | Avant | Arrières,En aluminium | 20'',Full LED,14 haut-parleurs | Commandes au volant | Sony,2 USB | 2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Réfrigéré | Arrière,,Similicuir,Électriques | Chauffants | Massants | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur,Ouvrant | Panoramique,Cuir | 3 branches | Chauffant | Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,Ouverture à distance,Automatique | Bizone | Capteur de qualité de l'air,À distance,Éléctrique | EPB,Normal | Sport | Eco | Offroad | Sable | Neige,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/omoda-jaecoo/8/1.5-tgdi-shs-4wd,,,,FCW,,LCA | LDP | ELK,Niveau 2 | TJA,,Adaptatif (ACC),,,Bi-ton | +2000 DT,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,Acoustiques,,421 CH,34.46 kWh,310 nm,160 km,,,,Poches aumônières,,,Anti-éblouissement,,,5.5 heures,20 minutes,LDW,RCTA,,BSD,,,,,,,,,,LED | 128 couleurs,,,,,,GPS,,,DMS,,,,,,,,,,,,,
"NISSAN NAVARA
2.5 DCI 4X4 DOUBLE CABINE BVA",Version unique,179 500 DT,Non,Disponible,Pick up,2 ans,5,4,4,Diesel,10 CV,190 CH,450 nm 2000 tr/min,2488 CM³,Automatique,7,Intégrale,5260 mm,1860 mm,1815 mm,,,10.1 s,180 KM/H,8.1 L/100 km,Frontaux | Latéraux,ESP,VDC,,HSA,Radar de recul | Caméra de recul | Détection du trafic en marche arrière,,,Avant | Arrières,En aluminium | 18'',LED,Commandes au volant,USB | AUX | Bluetooth,8 pouces,Avant | Arrière,,Cuir,Conducteur à réglage électrique,Conducteur et passager,,Multi-fonctions,En hauteur,2 prises 12 V,,Automatique | Bizone | Ventilation arrière,À distance,,,Électriques,,Avant/Arrière,https://www.automobile.tn/fr/neuf/nissan/navara/2.5-dci-4x4-bva-double-cabine,,,,,,,,Adaptative,,,Pare-chocs | Rétroviseurs,,Chromées,Cuir,,,Chromée | Noire,,,,,,,,,,,,,,,,,,,,,,,,,915 KG,,,,,,,,,,TSA,,Elargisseurs d'ailes,,,,,,,,,,,,,,,,,
"MG CYBERSTER
77 KWH RWD",Version unique,179 950 DT,Non,Sur commande,Cabriolet,7 ans ou 150.000 km,2,2,,Electrique,11 CV,340 CH,475 nm 0 tr/min,,,,Propulsion,4535 mm,1913 mm,1329 mm,249 L,,5.0 s,200 KM/H,,Frontaux | Protège-tête,ESP,AFU | Freinage automatique anti-collision (AEB),,Autohold,Radar de recul | Radar avant | Système de caméras 360,,,Feux de jour | Avant | Arrières,En aluminium | 19'',LED,8 haut-parleurs | Haut-parleurs Bose | Commandes au volant,Android Auto | Apple Carplay | Bluetooth,Tactile | 7 pouces,,,Alcantara/Similicuir,Électriques | Chauffants | Fonction mémoire,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,Confort | Sport | Supersport,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés | Éclairage d'accueil à LED,7 pouces | 10.25 pouces,Avant,https://www.automobile.tn/fr/neuf/mg/cyberster/77-kwh-rwd,,,,FCW,,,Niveau 2,,Adaptatif (ACC),TSR | Avec régulation de la vitesse,,,,,Démarrage mains libres,Accès mains libres,,,,,,77 kWh,,507 km,,,,,,,Anti-éblouissement,,16.7 kWh/100 km,6 heures,26 minutes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Ouverture et fermeture motorisées,
